상품명,색상,단가
로터리디밍,앤틱브래스,262400
콘센트,앤틱브래스,46300
방우콘센트,앤틱브래스,57300
1회로(TV/LAN),앤틱브래스,67900
2회로(TV/LAN),앤틱브래스,83300
플라스틱원형(D47mm),,"3,500"
플라스틱원형(D61mm),,"3,500"
2구용플라스틱원형(D48mm),,"7,300"
3구용플라스틱원형(D48mm),,"10,600"
4구용플라스틱원형(D48mm),,"12,500"
메탈사각박스,,"2,900"
