Column1,,Column2,,Column3,Column4,Column5
상품명,재질,색상,카테고리,품목코드,제품명,단가
3회로(3로겸용),듀로플라스틱,블랙,스위치류,5306EU,인서트 단로 3회로 (3로겸용),42480
3회로(3로겸용),듀로플라스틱,블랙,스위치류,LS993BFSW,커버 3회로 스위치,26190
로터리디밍,듀로플라스틱,블랙,스위치류,1731DD,인서트 로터리디밍 (LED100W),193490
로터리디밍,듀로플라스틱,블랙,스위치류,LS1740SW,커버 로터리디밍,21480
콘센트,듀로플라스틱,블랙,콘센트류,LS1520KISW,콘센트220V (인서트+커버),20950
방우콘센트,듀로플라스틱,블랙,콘센트류,LS1520KIKLSW,콘센트220V 방우형 (인서트+커버),29680
콘센트(USB-A),듀로플라스틱,블랙,콘센트류,LS1520-18ASW,콘센트220V USB-A (인서트+커버),139660
콘센트(USB-C),듀로플라스틱,블랙,콘센트류,LS1520-18CSW,콘센트220V USB-C (인서트+커버),139660
콘센트(USB-C/A),듀로플라스틱,블랙,콘센트류,LS1520-15CASW,콘센트220V USB-C/A (인서트+커버),139660
1회로(TEL/LAN),듀로플라스틱,블랙,기타류,UAE8UPOK6,인서트 1P TEL/LAN,36370
1회로(TEL/LAN),듀로플라스틱,블랙,기타류,LS969-1UASW,커버 1P TEL/LAN,13670
2회로(TEL/LAN),듀로플라스틱,블랙,기타류,UAE8-8UPOK6,인서트 2P TEL/LAN,48590
2회로(TEL/LAN),듀로플라스틱,블랙,기타류,LS969-2UASW,커버 2P TEL/LAN,15040
1구,듀로플라스틱,라이트그레이,,LS981LG,프레임 1구,9170
2구,듀로플라스틱,라이트그레이,,LS982LG,프레임 2구,14980
3구,듀로플라스틱,라이트그레이,,LS983LG,프레임 3구,23560
4구,듀로플라스틱,라이트그레이,,LS984LG,프레임 4구,35060
5구,듀로플라스틱,라이트그레이,,LS985LG,프레임 5구,49020
1회로(3로겸용),듀로플라스틱,라이트그레이,스위치류,506U,인서트 1회로 (단로/3로),11790
1회로(3로겸용),듀로플라스틱,라이트그레이,스위치류,LS990LG,커버 1회로 스위치,11930
1회로(일괄소등),듀로플라스틱,라이트그레이,스위치류,506-20U,인서트 일괄소등 1회로 (단로/3로),26190
1회로(일괄소등),듀로플라스틱,라이트그레이,스위치류,LS990LG,커버 1회로 스위치,11930
2회로(단로전용),듀로플라스틱,라이트그레이,스위치류,505U,인서트 2회로 (단로전용),18480
2회로(단로전용),듀로플라스틱,라이트그레이,스위치류,LS995LG,커버 2회로 스위치,16010
2회로(3로겸용),듀로플라스틱,라이트그레이,스위치류,509U,인서트 2회로 (단로/3로),32880
2회로(3로겸용),듀로플라스틱,라이트그레이,스위치류,LS995LG,커버 2회로 스위치,16010
3회로(3로겸용),듀로플라스틱,라이트그레이,스위치류,5306EU,인서트 단로 3회로 (3로겸용),42480
3회로(3로겸용),듀로플라스틱,라이트그레이,스위치류,LS993BFLG,커버 3회로 스위치,26190
로터리디밍,듀로플라스틱,라이트그레이,스위치류,1731DD,인서트 로터리디밍 (LED100W),193490
로터리디밍,듀로플라스틱,라이트그레이,스위치류,LS1740LG,커버 로터리디밍,21480
콘센트,듀로플라스틱,라이트그레이,콘센트류,LS1520KILG,콘센트220V (인서트+커버),20950
방우콘센트,듀로플라스틱,라이트그레이,콘센트류,LS1520KIKLLG,콘센트220V 방우형 (인서트+커버),29680
콘센트(USB-A),듀로플라스틱,라이트그레이,콘센트류,LS1520-18CLG,콘센트220V USB-A (인서트+커버),139660
콘센트(USB-C),듀로플라스틱,라이트그레이,콘센트류,LS1520-18CLG,콘센트220V USB-C (인서트+커버),139660
콘센트(USB-C/A),듀로플라스틱,라이트그레이,콘센트류,LS1520-15CALG,콘센트220V USB-C/A (인서트+커버),139660
1회로(TEL/LAN),듀로플라스틱,라이트그레이,기타류,UAE8UPOK6,인서트 1P TEL/LAN,36370
1회로(TEL/LAN),듀로플라스틱,라이트그레이,기타류,LS969-1UALG,커버 1P TEL/LAN,13670
2회로(TEL/LAN),듀로플라스틱,라이트그레이,기타류,UAE8-8UPOK6,인서트 2P TEL/LAN,48590
2회로(TEL/LAN),듀로플라스틱,라이트그레이,기타류,LS969-2UALG,커버 2P TEL/LAN,15040
